title,description,category,priority
Drainage water overflowing,Overflowing water is flooding nearby houses,Water,High
Water leakage on footpath,Water is making the pedestrian path difficult to use,Water,Medium
Minor public tap leakage,Small leakage from a public tap,Water,Low
Streetlight not working,Area becomes dark at night and pedestrians have difficulty,Streetlights,Medium
Multiple streetlights not working,Large area is completely dark at night,Streetlights,High
Broken streetlight near school,Children and pedestrians cannot safely use the area at night,Streetlights,High
Flickering streetlight,Streetlight works intermittently but needs maintenance,Streetlights,Low
Minor streetlight damage,Light is slightly damaged but still working,Streetlights,Low
Open electrical wire,Exposed electrical wire could cause electric shock,Streetlights,High
Streetlights off on main road,Main road is completely dark at night,Streetlights,High
Broken light near bus stop,Passengers cannot see the area clearly at night,Streetlights,Medium
Streetlight dimming frequently,Light becomes dim and bright repeatedly,Streetlights,Low
Park light not working,One park light is not working properly,Streetlights,Low
Damaged public bench,Bench is damaged but does not create immediate danger,Public Facilities,Low
Broken park equipment,Playground equipment is damaged and needs repair,Public Facilities,Medium
Dangerous playground equipment,Children could get injured using damaged equipment,Public Facilities,High
Broken public toilet,Public toilet is not functioning properly,Public Facilities,Medium
Minor park maintenance issue,Small maintenance issue in public park,Public Facilities,Low
Damaged playground slide,The slide has a sharp damaged section that could injure children,Public Facilities,High
Broken park fence,Part of the fence is damaged but no immediate danger exists,Public Facilities,Low
Public bench completely broken,Broken bench has sharp pieces that could injure people,Public Facilities,Medium
Park drinking water unavailable,Public drinking water facility is not working,Public Facilities,Medium
Minor park sign damage,Small damage to a public information sign,Public Facilities,Low
Stray animals blocking road,Animals are blocking traffic and could cause accidents,Stray Animals,High
Stray dogs near school,Stray dogs are creating a safety concern for children,Stray Animals,High
Stray animals in residential area,Animals are causing inconvenience to residents,Stray Animals,Medium
Single stray animal sighting,One animal was seen but no immediate danger exists,Stray Animals,Low
Aggressive stray dogs near park,A group of aggressive dogs is threatening pedestrians,Stray Animals,High
Stray cattle blocking highway,Cattle are blocking vehicles and creating accident risk,Stray Animals,High
Stray dogs near hospital,Animals are creating a safety concern for patients and visitors,Stray Animals,High
Stray animals near market,Animals are causing inconvenience around the market,Stray Animals,Medium
One stray animal near street,No immediate danger but animal needs attention,Stray Animals,Low
Stray cattle in residential area,Animals are disturbing residents and traffic,Stray Animals,Medium
Damaged traffic signal,Traffic signal is not working and could cause accidents,Traffic,High
Traffic signal malfunction,Signal is working incorrectly and causing traffic problems,Traffic,High
Broken pedestrian signal,Pedestrians cannot safely cross the road,Traffic,Medium
Faded traffic sign,Traffic sign is difficult to read but still visible,Traffic,Low
Traffic signal stuck on red,Signal is causing major traffic congestion,Traffic,High
Traffic light completely off,Intersection has no working traffic signal,Traffic,High
Damaged pedestrian crossing,Pedestrian crossing is difficult to use safely,Traffic,Medium
Missing traffic sign,Important warning sign is missing from the road,Traffic,Medium
Minor traffic sign damage,Small damage but sign remains readable,Traffic,Low
Faded lane markings,Lane markings are difficult to identify,Traffic,Low
Blocked storm drain,Blocked drain may cause severe flooding during rain,Drainage,High
Drain overflowing near houses,Overflowing drain is flooding residential areas,Drainage,High
Open drainage channel,Open drain creates a serious safety risk for pedestrians,Drainage,High
Clogged roadside drain,Water is accumulating because the drain is blocked,Drainage,Medium
Small drainage blockage,Minor blockage that needs routine cleaning,Drainage,Low
Drain cover missing near school,Children could fall into the uncovered drain,Drainage,High
Drain water overflowing onto road,Overflowing drainage water is affecting traffic,Drainage,High
Minor drain blockage,Small blockage with limited impact,Drainage,Low
Dirty drainage channel,Drain requires routine cleaning,Drainage,Low
Damaged drain cover,Broken cover could cause pedestrians to fall,Drainage,Medium
Minor public sign damage,Small damage to a public information sign,Other,Low
Broken information board,Public information board is damaged and difficult to read,Other,Low
Dangerous exposed cable,Exposed cable could cause electric shock to residents,Other,High
Public safety barrier damaged,Damaged barrier creates a risk near the road,Other,Medium
Small wall crack,Minor crack in a public wall with no immediate danger,Other,Low
Fallen tree blocking road,A fallen tree is completely blocking traffic,Other,High
Tree branch hanging dangerously,A large branch may fall on pedestrians or vehicles,Other,High
Small fallen branch,Small branch needs routine removal,Other,Low
Public building roof damage,Roof damage may cause falling debris and injuries,Other,High
Minor public infrastructure damage,Small issue that can be handled through routine maintenance,Other,Low
